id,source,title,year,page_url,pdf_url_hint,license,commercial_use,clinical_domain,priority
WHO-PH-001,WHO,Thirteenth General Programme of Work,2019,https://www.who.int/about/general-programme-of-work,,WHO,allowed,public_health_general,high
WHO-PH-002,WHO,Triple Billion Targets Framework,2023,https://www.who.int/data/triple-billion-dashboard,,WHO,allowed,public_health_general,high
WHO-PH-003,WHO,Operational Framework for Primary Health Care,2020,https://www.who.int/publications/i/item/9789240017832,,WHO,allowed,public_health_general,high
WHO-PH-004,WHO,Sustainable Development Goals Health Targets,2023,https://www.who.int/data/gho/data/themes/sustainable-development-goals,,WHO,allowed,public_health_general,medium
ASTHO-PH-001,ASTHO,State Public Health Operations Framework,2023,https://www.astho.org/topic/public-health-infrastructure/,,ASTHO,restricted,public_health_general,medium
ASTHO-PH-002,ASTHO,Health Equity Resource Library,2023,https://www.astho.org/topic/health-equity/,,ASTHO,restricted,public_health_general,medium
NACCHO-PH-001,NACCHO,Local Health Department Standards,2022,https://www.naccho.org/programs/public-health-infrastructure,,NACCHO,restricted,public_health_general,medium
NACCHO-PH-002,NACCHO,Mobilizing for Action through Planning and Partnerships MAPP,2022,https://www.naccho.org/programs/public-health-infrastructure/mapp,,NACCHO,restricted,public_health_general,medium
CDC-FETP-001,CDC,Field Epidemiology Training Program Curriculum,2022,https://www.cdc.gov/eis/field-epi-manual/index.html,,CDC,allowed,public_health_outbreak,high
CDC-FETP-002,CDC,Outbreak Investigation Steps Guide,2021,https://www.cdc.gov/training/quicklearns/outbreak/,,CDC,allowed,public_health_outbreak,high
CDC-FETP-003,CDC,Principles of Epidemiology in Public Health Practice,2012,https://www.cdc.gov/csels/dsepd/ss1978/index.html,,CDC,allowed,public_health_outbreak,high
ECDC-OUT-001,ECDC,Outbreak Toolbox,2023,https://www.ecdc.europa.eu/en/publications-data/outbreak-toolbox,,ECDC,allowed,public_health_outbreak,high
ECDC-OUT-002,ECDC,Communicable Disease Threats Report Methodology,2023,https://www.ecdc.europa.eu/en/publications-data/communicable-disease-threats-report,,ECDC,allowed,public_health_outbreak,medium
WHO-IHR-001,WHO,International Health Regulations 2005 Third Edition,2016,https://www.who.int/publications/i/item/9789241580496,,WHO,allowed,public_health_outbreak,high
WHO-IHR-002,WHO,IHR State Party Self-Assessment Annual Report,2023,https://www.who.int/teams/ihr/monitoring-evaluation,,WHO,allowed,public_health_outbreak,medium
CDC-SURV-001,CDC,National Notifiable Diseases Surveillance System,2024,https://www.cdc.gov/nndss/,,CDC,allowed,public_health_general,high
CDC-SURV-002,CDC,Updated Guidelines for Evaluating Public Health Surveillance Systems,2001,https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5013a1.htm,,CDC,allowed,public_health_general,medium
CDC-SURV-003,CDC,Syndromic Surveillance BioSense Platform Guidance,2023,https://www.cdc.gov/nssp/biosense/,,CDC,allowed,public_health_general,medium
