id,source,title,year,page_url,pdf_url_hint,license,commercial_use,clinical_domain,priority
FDA-DRUG-001,FDA,FDA Approved Drug Products with Therapeutic Equivalence Evaluations Orange Book,2024,https://www.accessdata.fda.gov/scripts/cder/ob/index.cfm,,Public Domain,allowed,drug_regulatory,high
FDA-DRUG-002,FDA,FDA Drugs@FDA database approved drug products,2024,https://www.accessdata.fda.gov/scripts/cder/daf/,,Public Domain,allowed,drug_regulatory,high
FDA-DRUG-003,FDA,FDA Drug Safety Communications archive,2024,https://www.fda.gov/drugs/drug-safety-and-availability/drug-safety-communications,,Public Domain,allowed,drug_pharmacovigilance,high
FDA-DRUG-004,FDA,FDA Risk Evaluation and Mitigation Strategies REMS database,2024,https://www.accessdata.fda.gov/scripts/cder/rems/,,Public Domain,allowed,drug_safety_practice,high
FDA-DRUG-005,FDA,FDA MedWatch Safety Information and Adverse Event Reporting Program,2024,https://www.fda.gov/safety/medwatch-fda-safety-information-and-adverse-event-reporting-program,,Public Domain,allowed,drug_pharmacovigilance,high
FDA-DRUG-006,FDA,FDA Boxed Warning database black box warnings,2024,https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers,,Public Domain,allowed,drug_safety_practice,high
FDA-DRUG-007,FDA,FDA FAERS Adverse Event Reporting System Public Dashboard,2024,https://www.fda.gov/drugs/questions-and-answers-fdas-adverse-event-reporting-system-faers,,Public Domain,allowed,drug_pharmacovigilance,high
FDA-DRUG-008,FDA,FDA Pregnancy and Lactation Labeling Final Rule PLLR,2014,https://www.fda.gov/drugs/labeling-information-drug-products/pregnancy-and-lactation-labeling-drugs-final-rule,,Public Domain,allowed,drug_pregnancy_lactation,high
FDA-DRUG-009,FDA,FDA Drug Shortages database current and resolved,2024,https://www.accessdata.fda.gov/scripts/drugshortages/,,Public Domain,allowed,drug_shortage_recall,high
FDA-DRUG-010,FDA,FDA Drug Recalls Market Withdrawals and Safety Alerts,2024,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts,,Public Domain,allowed,drug_shortage_recall,high
FDA-DRUG-011,FDA,FDA CDER Guidances for Industry drug development,2024,https://www.fda.gov/drugs/guidance-compliance-regulatory-information/guidances-drugs,,Public Domain,allowed,drug_regulatory_guidance,high
FDA-DRUG-012,FDA,FDA Bioequivalence Recommendations for Specific Products,2024,https://www.fda.gov/drugs/guidances-drugs/bioequivalence-recommendations-specific-products,,Public Domain,allowed,drug_regulatory_guidance,medium
FDA-DRUG-013,FDA,FDA Table of Pharmacogenomic Biomarkers in Drug Labeling,2024,https://www.fda.gov/drugs/science-and-research-drugs/table-pharmacogenomic-biomarkers-drug-labeling,,Public Domain,allowed,drug_pharmacogenomics,high
FDA-DRUG-014,FDA,FDA Drug Interactions Table substrates inhibitors and inducers,2023,https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers,,Public Domain,allowed,drug_interactions,high
FDA-DRUG-015,FDA,FDA QT prolongation drug labeling guidance,2017,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,,Public Domain,allowed,drug_regulatory_guidance,medium
FDA-DRUG-016,FDA,FDA Purple Book biologics database,2024,https://purplebooksearch.fda.gov/,,Public Domain,allowed,drug_regulatory,medium
FDA-DRUG-017,FDA,FDA Postmarket Drug Safety Information for Patients and Providers,2024,https://www.fda.gov/drugs/drug-safety-and-availability,,Public Domain,allowed,drug_pharmacovigilance,high
FDA-DRUG-018,FDA,FDA Drug-Induced Liver Injury guidance for industry,2009,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/drug-induced-liver-injury-premarketing-clinical-evaluation,,Public Domain,allowed,drug_renal_hepatic_dosing,medium
FDA-DRUG-019,FDA,FDA Pharmacokinetics in Patients with Impaired Renal Function guidance,2020,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,,Public Domain,allowed,drug_renal_hepatic_dosing,high
FDA-DRUG-020,FDA,FDA Pharmacokinetics in Patients with Impaired Hepatic Function guidance,2003,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,,Public Domain,allowed,drug_renal_hepatic_dosing,medium
EMA-EPAR-001,EMA,EMA European Public Assessment Reports EPAR database,2024,https://www.ema.europa.eu/en/medicines,,EMA Open,allowed,drug_regulatory,high
EMA-EPAR-002,EMA,EMA Pharmacovigilance Risk Assessment Committee PRAC monthly recommendations,2024,https://www.ema.europa.eu/en/committees/pharmacovigilance-risk-assessment-committee-prac,,EMA Open,allowed,drug_pharmacovigilance,high
EMA-EPAR-003,EMA,EMA Direct Healthcare Professional Communications DHPC archive,2024,https://www.ema.europa.eu/en/human-regulatory/post-authorisation/pharmacovigilance/direct-healthcare-professional-communications,,EMA Open,allowed,drug_pharmacovigilance,high
EMA-EPAR-004,EMA,EMA EudraVigilance European database of suspected adverse drug reactions,2024,https://www.adrreports.eu/,,EMA Open,allowed,drug_pharmacovigilance,high
EMA-EPAR-005,EMA,EMA Good Pharmacovigilance Practices GVP modules,2024,https://www.ema.europa.eu/en/human-regulatory/post-authorisation/pharmacovigilance/good-pharmacovigilance-practices,,EMA Open,allowed,drug_pharmacovigilance,high
EMA-EPAR-006,EMA,EMA Scientific Guidelines for human medicines,2024,https://www.ema.europa.eu/en/human-regulatory/research-development/scientific-guidelines,,EMA Open,allowed,drug_regulatory_guidance,high
EMA-EPAR-007,EMA,EMA Shortages of medicines reporting and management,2024,https://www.ema.europa.eu/en/human-regulatory/post-authorisation/availability-medicines/shortages-medicines,,EMA Open,allowed,drug_shortage_recall,high
EMA-EPAR-008,EMA,EMA Paediatric Investigation Plans PIP database,2024,https://www.ema.europa.eu/en/human-regulatory/research-development/paediatric-medicines,,EMA Open,allowed,drug_pediatric,high
EMA-EPAR-009,EMA,EMA Pregnancy and breastfeeding scientific guideline,2020,https://www.ema.europa.eu/en/risk-assessment-medicinal-products-human-reproduction-lactation-data-product-information,,EMA Open,allowed,drug_pregnancy_lactation,high
EMA-EPAR-010,EMA,EMA Investigation of drug interactions guideline CHMP,2012,https://www.ema.europa.eu/en/investigation-drug-interactions,,EMA Open,allowed,drug_interactions,high
EMA-EPAR-011,EMA,EMA QT interval prolongation guideline ICH E14,2008,https://www.ema.europa.eu/en/ich-e14-clinical-evaluation-qtqtc-interval-prolongation,,EMA Open,allowed,drug_regulatory_guidance,medium
EMA-EPAR-012,EMA,EMA Risk Management Plan RMP guidance,2017,https://www.ema.europa.eu/en/human-regulatory/post-authorisation/pharmacovigilance/risk-management/risk-management-plans,,EMA Open,allowed,drug_pharmacovigilance,high
MHRA-DSU-001,MHRA,MHRA Drug Safety Update monthly bulletin archive,2024,https://www.gov.uk/drug-safety-update,,Crown Copyright,allowed,drug_pharmacovigilance,high
MHRA-DSU-002,MHRA,MHRA Yellow Card Scheme adverse drug reaction reporting,2024,https://yellowcard.mhra.gov.uk/,,Crown Copyright,allowed,drug_pharmacovigilance,high
MHRA-DSU-003,MHRA,MHRA Public Assessment Reports PARs database,2024,https://products.mhra.gov.uk/,,Crown Copyright,allowed,drug_regulatory,high
MHRA-DSU-004,MHRA,MHRA Off-label or unlicensed use of medicines guidance,2023,https://www.gov.uk/government/publications/off-label-or-unlicensed-use-of-medicines-prescribers-responsibilities,,Crown Copyright,allowed,drug_regulatory_guidance,medium
MHRA-DSU-005,MHRA,MHRA Sodium valproate use in pregnancy regulatory action,2024,https://www.gov.uk/government/publications/valproate-use-by-women-and-girls,,Crown Copyright,allowed,drug_pregnancy_lactation,high
MHRA-DSU-006,MHRA,MHRA Drug Alerts and Recalls archive,2024,https://www.gov.uk/drug-device-alerts,,Crown Copyright,allowed,drug_shortage_recall,high
HC-DRUG-001,Health-Canada,Health Canada Drug Product Database DPD,2024,https://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/drug-product-database.html,,Public Domain,allowed,drug_regulatory,high
HC-DRUG-002,Health-Canada,Health Canada Notice of Compliance NOC database,2024,https://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/notice-compliance.html,,Public Domain,allowed,drug_regulatory,medium
HC-DRUG-003,Health-Canada,Health Canada MedEffect Adverse Reaction Reporting Canada Vigilance,2024,https://www.canada.ca/en/health-canada/services/drugs-health-products/medeffect-canada.html,,Public Domain,allowed,drug_pharmacovigilance,high
HC-DRUG-004,Health-Canada,Health Canada Recalls and Safety Alerts database,2024,https://recalls-rappels.canada.ca/en,,Public Domain,allowed,drug_shortage_recall,high
HC-DRUG-005,Health-Canada,Health Canada Summary Safety Reviews,2024,https://hpr-rps.hres.ca/reg-content/summary-safety-review.php,,Public Domain,allowed,drug_pharmacovigilance,high
HC-DRUG-006,Health-Canada,Health Canada Drug Shortages Canada database,2024,https://www.drugshortagescanada.ca/,,Public Domain,allowed,drug_shortage_recall,high
TGA-DRUG-001,TGA,TGA Australian Register of Therapeutic Goods ARTG,2024,https://www.tga.gov.au/resources/artg,,Public Domain,allowed,drug_regulatory,high
TGA-DRUG-002,TGA,TGA Database of Adverse Event Notifications DAEN medicines,2024,https://www.tga.gov.au/safety/safety/database-adverse-event-notifications-daen,,Public Domain,allowed,drug_pharmacovigilance,high
TGA-DRUG-003,TGA,TGA Medicines safety alerts and recalls,2024,https://www.tga.gov.au/safety/alerts,,Public Domain,allowed,drug_shortage_recall,high
TGA-DRUG-004,TGA,TGA Australian Public Assessment Reports AusPARs,2024,https://www.tga.gov.au/resources/auspar,,Public Domain,allowed,drug_regulatory,high
TGA-DRUG-005,TGA,TGA Prescribing medicines in pregnancy database,2023,https://www.tga.gov.au/products/medicines/prescription-medicines/prescribing-medicines-pregnancy-database,,Public Domain,allowed,drug_pregnancy_lactation,high
PMDA-DRUG-001,PMDA,PMDA Pharmaceuticals and Medical Devices Agency Japan drug information,2024,https://www.pmda.go.jp/english/,,Public Domain,allowed,drug_regulatory,high
PMDA-DRUG-002,PMDA,PMDA Review Reports approved drugs Japan,2024,https://www.pmda.go.jp/english/review-services/reviews/approved-information/drugs/0001.html,,Public Domain,allowed,drug_regulatory,medium
PMDA-DRUG-003,PMDA,PMDA Pharmaceuticals and Medical Devices Safety Information,2024,https://www.pmda.go.jp/english/safety/info-services/drugs/0001.html,,Public Domain,allowed,drug_pharmacovigilance,high
ANSM-DRUG-001,ANSM,ANSM Repertoire des specialites pharmaceutiques France,2024,https://base-donnees-publique.medicaments.gouv.fr/,,Public Domain,allowed,drug_regulatory,high
ANSM-DRUG-002,ANSM,ANSM Surveillance des medicaments pharmacovigilance France,2024,https://ansm.sante.fr/page/declarer-un-effet-indesirable,,Public Domain,allowed,drug_pharmacovigilance,high
ANSM-DRUG-003,ANSM,ANSM Points d information securite des medicaments,2024,https://ansm.sante.fr/qui-sommes-nous/notre-perimetre/les-medicaments/p/securite-des-medicaments,,Public Domain,allowed,drug_pharmacovigilance,high
