id,source,title,year,page_url,pdf_url_hint,license,commercial_use,clinical_domain,priority
ESMO-LUNG-001,ESMO,Early stage NSCLC diagnosis treatment follow up,2023,https://www.esmo.org/guidelines/lung-and-chest-tumours/early-stage-and-locally-advanced-non-small-cell-lung-cancer,,ESMO Open Access,allowed,oncology_lung,high
ESMO-LUNG-002,ESMO,Metastatic NSCLC treatment ESMO Clinical Practice Living Guideline,2024,https://www.esmo.org/guidelines/lung-and-chest-tumours/metastatic-non-small-cell-lung-cancer,,ESMO Open Access,allowed,oncology_lung,high
ESMO-LUNG-003,ESMO,Small cell lung cancer ESMO Clinical Practice Guidelines,2021,https://www.esmo.org/guidelines/lung-and-chest-tumours/small-cell-lung-cancer,,ESMO Open Access,allowed,oncology_lung,high
ESMO-LUNG-004,ESMO,Malignant pleural mesothelioma diagnosis treatment,2022,https://www.esmo.org/guidelines/lung-and-chest-tumours/malignant-pleural-mesothelioma,,ESMO Open Access,allowed,oncology_lung,high
ESMO-LUNG-005,ESMO,Thymic epithelial tumours diagnosis treatment,2015,https://www.esmo.org/guidelines/lung-and-chest-tumours/thymic-epithelial-tumours,,ESMO Open Access,allowed,oncology_lung,medium
ASCO-LUNG-001,ASCO,Therapy stage IV NSCLC without driver alterations ASCO living,2024,https://ascopubs.org/doi/10.1200/JCO.23.02744,,ASCO,restricted-cds,oncology_lung,high
ASCO-LUNG-002,ASCO,Therapy stage IV NSCLC driver alterations ASCO living,2023,https://ascopubs.org/doi/10.1200/JCO.22.02524,,ASCO,restricted-cds,oncology_lung,high
ASCO-LUNG-003,ASCO,Stage III NSCLC management,2022,https://ascopubs.org/doi/10.1200/JCO.21.02528,,ASCO,restricted-cds,oncology_lung,high
ASCO-LUNG-004,ASCO,Adjuvant systemic therapy resected NSCLC,2023,https://ascopubs.org/doi/10.1200/JCO.22.02547,,ASCO,restricted-cds,oncology_lung,high
ASCO-LUNG-005,ASCO,Initial management small cell lung cancer,2021,https://ascopubs.org/doi/10.1200/JCO.20.03364,,ASCO,restricted-cds,oncology_lung,high
USPSTF-LUNG-001,USPSTF,Screening for lung cancer recommendation statement,2021,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/lung-cancer-screening,,Public Domain,allowed,oncology_lung_screening,high
ESMO-PANCREAS-001,ESMO,Pancreatic adenocarcinoma ESMO Clinical Practice Guideline,2023,https://www.esmo.org/guidelines/gastrointestinal-cancers/pancreatic-adenocarcinoma,,ESMO Open Access,allowed,oncology_pancreas,high
ASCO-PANCREAS-001,ASCO,Metastatic pancreatic cancer ASCO clinical practice guideline update,2020,https://ascopubs.org/doi/10.1200/JCO.20.01364,,ASCO,restricted-cds,oncology_pancreas,high
